Timestamp,TagID,x(m),y(m),
2020-03-02T15:39:42.864270Z,42,235,307,
2020-03-02T15:39:43.260769Z,0,51.2335,53.6749,
2020-03-02T15:39:43.260803Z,1,251.828,51.3572,
2020-03-02T15:39:43.260811Z,2,57.2583,254.468,
2020-03-02T15:39:43.260818Z,42,235.75,306.75,
2020-03-02T15:39:43.293308Z,0,51.2836,53.6866,
2020-03-02T15:39:43.293341Z,1,251.816,51.3727,
2020-03-02T15:39:43.293350Z,2,57.2358,254.472,
2020-03-02T15:39:43.293357Z,42,236.305,307.274,
2020-03-02T15:39:43.393649Z,0,51.2619,53.6356,
2020-03-02T15:39:43.393684Z,1,251.828,51.3585,
2020-03-02T15:39:43.393692Z,2,57.2628,254.45,
2020-03-02T15:39:43.393699Z,42,235.636,306.943,
2020-03-02T15:39:43.461230Z,0,51.2698,53.6593,
2020-03-02T15:39:43.461266Z,1,251.83,51.3522,
2020-03-02T15:39:43.461275Z,2,57.2647,254.459,
2020-03-02T15:39:43.461283Z,42,235.402,306.972,
2020-03-02T15:39:43.561731Z,0,51.27,53.642,
2020-03-02T15:39:43.561765Z,1,251.849,51.3636,
2020-03-02T15:39:43.561774Z,2,57.2467,254.447,
2020-03-02T15:39:43.561781Z,42,234.804,306.615,
2020-03-02T15:39:43.596007Z,0,51.2516,53.6618,
2020-03-02T15:39:43.596087Z,1,251.828,51.3385,
2020-03-02T15:39:43.596098Z,2,57.2468,254.505,
2020-03-02T15:39:43.596105Z,42,234.895,306.883,
2020-03-02T15:39:43.629702Z,0,51.4383,53.7575,
2020-03-02T15:39:43.629766Z,1,251.83,51.3612,
2020-03-02T15:39:43.629780Z,2,57.2546,254.442,
2020-03-02T15:39:43.629787Z,42,234.735,306.845,
2020-03-02T15:39:43.662339Z,0,51.2491,53.6644,
2020-03-02T15:39:43.662418Z,1,251.802,51.3668,
2020-03-02T15:39:43.662431Z,2,57.2198,254.469,
2020-03-02T15:39:43.662440Z,42,234.761,306.966,
2020-03-02T15:39:43.695487Z,0,51.26,53.6362,
2020-03-02T15:39:43.695537Z,1,251.826,51.3247,
2020-03-02T15:39:43.695556Z,2,57.2431,254.454,
2020-03-02T15:39:43.695571Z,42,234.403,306.808,
2020-03-02T15:39:43.729592Z,0,51.2612,53.7015,
2020-03-02T15:39:43.729626Z,1,251.81,51.3628,
2020-03-02T15:39:43.729634Z,2,57.2256,254.442,
2020-03-02T15:39:43.729642Z,42,234.622,306.906,
2020-03-02T15:39:43.761874Z,0,51.2616,53.6554,
2020-03-02T15:39:43.761909Z,1,251.821,51.3695,
2020-03-02T15:39:43.761918Z,2,57.2593,254.467,
2020-03-02T15:39:43.761925Z,42,234.84,306.716,
2020-03-02T15:39:43.794265Z,0,51.2567,53.6572,
2020-03-02T15:39:43.794300Z,1,251.829,51.3514,
2020-03-02T15:39:43.794309Z,2,57.229,254.436,
2020-03-02T15:39:43.794316Z,42,234.89,306.602,
2020-03-02T15:39:44.060576Z,0,51.2625,53.6615,
2020-03-02T15:39:44.060612Z,1,251.834,51.3498,
2020-03-02T15:39:44.060622Z,2,57.2329,254.443,
2020-03-02T15:39:44.060630Z,42,236.613,305.835,
2020-03-02T15:39:44.093961Z,0,51.2569,53.6877,
2020-03-02T15:39:44.094020Z,1,251.83,51.3605,
2020-03-02T15:39:44.094038Z,2,57.2516,254.473,
2020-03-02T15:39:44.094053Z,42,236.604,306.076,
2020-03-02T15:39:44.129119Z,0,51.2829,53.658,
2020-03-02T15:39:44.129206Z,1,251.843,51.3504,
2020-03-02T15:39:44.129219Z,2,57.24,254.461,
2020-03-02T15:39:44.129229Z,42,236.642,306.211,
2020-03-02T15:39:44.160632Z,0,51.2453,53.6527,
2020-03-02T15:39:44.160670Z,1,251.818,51.3636,
2020-03-02T15:39:44.160678Z,2,57.2585,254.468,
2020-03-02T15:39:44.160685Z,42,235.974,306.273,
2020-03-02T15:39:44.224738Z,0,51.2777,53.7061,
2020-03-02T15:39:44.224790Z,1,251.825,51.35,
2020-03-02T15:39:44.224798Z,2,57.2615,254.458,
2020-03-02T15:39:44.224805Z,42,235.25,305.75,
2020-03-02T15:39:44.393745Z,0,51.2397,53.6553,
2020-03-02T15:39:44.393780Z,1,251.804,51.3504,
2020-03-02T15:39:44.393788Z,2,57.2637,254.438,
2020-03-02T15:39:44.393796Z,42,235.191,305.586,
2020-03-02T15:39:44.526130Z,0,51.2311,53.6524,
2020-03-02T15:39:44.526192Z,1,251.834,51.3682,
2020-03-02T15:39:44.526203Z,2,57.2527,254.434,
2020-03-02T15:39:44.526212Z,42,233.827,305.31,
2020-03-02T15:39:45.125207Z,0,51.2707,53.6507,
2020-03-02T15:39:45.125245Z,1,251.836,51.3523,
2020-03-02T15:39:45.125254Z,2,57.2813,254.469,
2020-03-02T15:39:45.125261Z,42,234.115,306.153,
2020-03-02T15:39:45.161250Z,0,51.229,53.6393,
2020-03-02T15:39:45.161293Z,1,251.813,51.3391,
2020-03-02T15:39:45.161306Z,2,57.2693,254.461,
2020-03-02T15:39:45.161317Z,42,234.721,306.101,
2020-03-02T15:39:45.192536Z,0,51.2194,53.6639,
2020-03-02T15:39:45.192579Z,1,251.838,51.3616,
2020-03-02T15:39:45.192587Z,2,57.2636,254.479,
2020-03-02T15:39:45.192594Z,42,234.949,306.13,
2020-03-02T15:39:45.224257Z,0,51.2213,53.629,
2020-03-02T15:39:45.224301Z,1,251.811,51.346,
2020-03-02T15:39:45.224314Z,2,57.2486,254.429,
2020-03-02T15:39:45.224324Z,42,234.992,306.154,
2020-03-02T15:39:45.260832Z,0,51.2673,53.6763,
2020-03-02T15:39:45.260870Z,1,251.817,51.3619,
2020-03-02T15:39:45.260881Z,2,57.2416,254.473,
2020-03-02T15:39:45.260889Z,42,234.803,306.253,
