Timestamp,TagID,x(m),y(m),theta(rad),
2020-03-10T16:59:59.822985+00:00,42,0.378307,-0.605712,0.0867766,
2020-03-10T16:59:59.855268+00:00,42,0.378332,-0.605722,0.0861382,
2020-03-10T16:59:59.891770+00:00,42,0.378254,-0.605698,0.0861002,
2020-03-10T16:59:59.922711+00:00,42,0.378276,-0.605777,0.0861089,
2020-03-10T16:59:59.954707+00:00,42,0.378276,-0.605777,0.0861089,
2020-03-10T16:59:59.991015+00:00,42,0.378333,-0.605809,0.086377,
2020-03-10T17:00:00.022846+00:00,42,0.378282,-0.605678,0.0859694,
2020-03-10T17:00:00.054476+00:00,42,0.378396,-0.605726,0.0859065,
2020-03-10T17:00:00.090633+00:00,42,0.378396,-0.605726,0.0859065,
2020-03-10T17:00:00.122941+00:00,42,0.378303,-0.605703,0.0867297,
2020-03-10T17:00:00.160050+00:00,42,0.378393,-0.605665,0.0865389,
2020-03-10T17:00:00.195348+00:00,42,0.378291,-0.605732,0.0865365,
2020-03-10T17:00:00.227536+00:00,42,0.378383,-0.605665,0.0864213,
2020-03-10T17:00:00.258636+00:00,42,0.378421,-0.605618,0.0866299,
2020-03-10T17:00:00.296135+00:00,42,0.378246,-0.605717,0.0865809,
2020-03-10T17:00:00.327846+00:00,42,0.378282,-0.605616,0.0869729,
2020-03-10T17:00:00.359273+00:00,42,0.378302,-0.605545,0.0870462,
2020-03-10T17:00:00.390756+00:00,42,0.378384,-0.605653,0.086512,
2020-03-10T17:00:00.422388+00:00,42,0.378384,-0.605653,0.086512,
2020-03-10T17:00:00.454411+00:00,42,0.378421,-0.60572,0.0865595,
2020-03-10T17:00:00.491559+00:00,42,0.378386,-0.605637,0.0862484,
2020-03-10T17:00:00.522250+00:00,42,0.378243,-0.605729,0.0863358,
2020-03-10T17:00:00.554121+00:00,42,0.378243,-0.605729,0.0863358,
2020-03-10T17:00:00.590341+00:00,42,0.37831,-0.605646,0.0863405,
2020-03-10T17:00:00.622350+00:00,42,0.378381,-0.605737,0.086289,
2020-03-10T17:00:00.654807+00:00,42,0.378228,-0.605741,0.0860151,
2020-03-10T17:00:00.690326+00:00,42,0.378373,-0.605628,0.0868152,
2020-03-10T17:00:00.722605+00:00,42,0.378344,-0.605722,0.0861428,
2020-03-10T17:00:00.754485+00:00,42,0.378356,-0.605638,0.0864339,
2020-03-10T17:00:00.790637+00:00,42,0.378255,-0.605691,0.086926,
2020-03-10T17:00:00.823000+00:00,42,0.378301,-0.605694,0.0869014,
2020-03-10T17:00:00.858743+00:00,42,0.378301,-0.605694,0.0869014,
2020-03-10T17:00:00.894858+00:00,42,0.378202,-0.605837,0.0862746,
2020-03-10T17:00:00.923873+00:00,42,0.378326,-0.605766,0.086237,
