Timestamp,x(m),y(m),Theta(rad),
2020-03-10T16:59:29.357132+00:00,0.03287856574497581,-3.227409834220336e-05,-0.001227136584930122,
2020-03-10T16:59:29.368927+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011753266444429755,
2020-03-10T16:59:29.384136+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012483615428209307,
2020-03-10T16:59:29.429560+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011073597706854346,
2020-03-10T16:59:29.489113+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012237286427989604,
2020-03-10T16:59:29.530424+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012257784837856889,
2020-03-10T16:59:29.591400+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012093075783923268,
2020-03-10T16:59:29.635961+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011648662621155381,
2020-03-10T16:59:29.678812+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012406393652781844,
2020-03-10T16:59:29.730794+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012096965219825506,
2020-03-10T16:59:29.788705+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012218533083796501,
2020-03-10T16:59:29.827804+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012006321921944618,
2020-03-10T16:59:29.889214+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012687381822615862,
2020-03-10T16:59:29.936754+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012151410337537527,
2020-03-10T16:59:29.980306+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011992582585662601,
2020-03-10T16:59:30.027808+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011770003475248811,
2020-03-10T16:59:30.084437+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012108628870919347,
2020-03-10T16:59:30.127953+00:00,0.03287856574497581,-3.227409834220336e-05,-0.001213888986967504,
2020-03-10T16:59:30.188823+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011715336004272105,
2020-03-10T16:59:30.232824+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012505886843428016,
2020-03-10T16:59:30.301777+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012167413951829076,
2020-03-10T16:59:30.328874+00:00,0.03287856574497581,-3.227409834220336e-05,-0.001259207958355546,
2020-03-10T16:59:30.392517+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011629477376118302,
2020-03-10T16:59:30.429889+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012147362576797605,
2020-03-10T16:59:30.490755+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011974461376667023,
2020-03-10T16:59:30.533738+00:00,0.03287856574497581,-3.227409834220336e-05,-0.001165939029306173,
2020-03-10T16:59:30.580962+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012234702007845044,
2020-03-10T16:59:30.627227+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011180386645719407,
2020-03-10T16:59:30.697243+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012730475282296536,
2020-03-10T16:59:30.743647+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011860167142003775,
2020-03-10T16:59:30.789920+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011716957669705153,
2020-03-10T16:59:30.837417+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011864949483424427,
2020-03-10T16:59:30.881893+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012761729303747418,
2020-03-10T16:59:30.930357+00:00,0.03287856574497581,-3.227409834220336e-05,-0.001181063475087285,
2020-03-10T16:59:30.987610+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012345976429060102,
2020-03-10T16:59:31.030075+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011850674636662009,
2020-03-10T16:59:31.088947+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012667931150645018,
2020-03-10T16:59:31.134282+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012411221396178007,
2020-03-10T16:59:31.182718+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011995162349194288,
2020-03-10T16:59:31.227924+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011915771756321192,
2020-03-10T16:59:31.286588+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012141093611717224,
2020-03-10T16:59:31.329029+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012597222812473774,
2020-03-10T16:59:31.393629+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011655373964458702,
2020-03-10T16:59:31.437454+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012446754844859245,
2020-03-10T16:59:31.480292+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012597726890817285,
2020-03-10T16:59:31.531500+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011726992670446634,
2020-03-10T16:59:31.586392+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0011964906007051468,
2020-03-10T16:59:31.630572+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012225804384797812,
2020-03-10T16:59:31.689449+00:00,0.03287856574497581,-3.227409834220336e-05,-0.001274718204513192,
2020-03-10T16:59:31.733735+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012756725773215294,
2020-03-10T16:59:31.783037+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012733634794130921,
2020-03-10T16:59:31.827022+00:00,0.03287856574497581,-3.227409834220336e-05,-0.0012131982948631048,
